title,year
One Hundred and One Dalmatians,1961
13 Hours,2016
28 Days Later...,2016
A Fistful of Dollars,1964
A Nightmare on Elm Street: Dream Warriors,1987
A Nightmare on Elm Street 5: The Dream Child,1989
A Nightmare on Elm Street 2: Freddy's Revenge,1985
Stir of Echoes,1999
A Thin Line Between Love and Hate,1996
Alien vs. Predator,2004
A.I. Artificial Intelligence,2001
Barnyard,2006
Battlefield Earth,2000
BeetleJuice,1988
La Cage aux Folles,1979
The Black Stallion,1979
Cheech and Chong's Next Movie,1980
Nice Dreams,1981
Cinema Paradiso,1988
Cop & ½,1993
Cowboys & Aliens,2011
Crocodile Dundee II,1988
Damaged Lives,1933
Omen II: Damien,1978
Dial M for Murder,1954
Planes,2013
A Christmas Carol,2009
Doctor Dolittle,1967
The Lorax,2012
Dumb and Dumber,1994
Deja Vu,2006
Chariots of the Gods,1970
F.I.S.T.,1978
Fantasia 2000,2000
Fantastic 4: Rise of the Silver Surfer,2007
Fast and Furious 6: The Game,2013
Father of the Bride,1950
FernGully: The Last Rainforest,1992
For a Few Dollars More,1965
Friday the 13th: Part III,1982
Friday the 13th: The Final Chapter,1984
Friday the 13th: A New Beginning,1985
Friday the 13th: Jason Lives,1986
Friday the 13th: The New Blood,1988
Jason Takes Manhattan,1989
Funny Girl,1968
G.I. Jane,1997
Galapagos,1955
Garfield,2004
Garfield: A Tail of Two Kitties,2006
Gnomeo & Juliet,2011
Halloween II,2009
Halloween III: Season of the Witch,1982
Halloween H20: 20 Years Later,1998
Halloween: The Curse of Michael Myers,1995
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2008
Harry Potter and the Deathly Hallows: Part 1,2010
Harry Potter and the Deathly Hallows: Part 2,2011
HeavyWeights,1995
Hellboy II: The Golden Army,2008
High School Musical 3,2008
Home Alone 3,1997
Hot Dog... The Movie,1984
How to Beat the High Cost of Living,1980
I Am Curious (Yellow),1967
I Now Pronounce You Chuck & Larry,2007
In God We Trust,1980
In Search of the Castaways,1962
Bad Grandpa,2013
Mafia!,1998
Jason Goes to Hell,1993
Jaws: The Revenge,1987
Jennifer 8,1992
Hero,2002
Jurassic Park III,2001
Kate & Leopold,2001
Kicking & Screaming,2005
Kill Bill: Vol. 1,2003
King Solomon's Mines,1950
The Adventures of Milo and Otis,1986
Lady and the Tramp,1955
Les Misérables,2012
Licence to Kill,1989
Life Is Beautiful,1997
Lolita,1962
Love & Basketball,2000
Love & Other Drugs,2010
MASH,1970
Men in Black II,2002
This Is It,2009
Miss Congeniality 2: Armed & Fabulous,2005
Mission: Impossible II,2000
Mission: Impossible - Ghost Protocol,2011
Mission: Impossible - Rogue Nation,2015
The Meaning of Life,1983
MouseHunt,1997
Mr. & Mrs. Smith,2005
Vivre Sa Vie,1963
Class Reunion,1982
Vacation,1983
9½ Weeks,1986
9 to 5,1980
"Oh, God! You Devil",1984
Once Upon a Crime...,1992
Our Man Flint,1966
Paranormal Activity,2007
Pat Garrett & Billy the Kid,1973
Peter Pan 2: Return to Neverland,2002
Planes: Fire & Rescue,2014
Precious,2009
Prince of Persia: The Sands of Time,2010
Return of the Living Dead II,1988
Rocky II,1979
Rocky III,1982
Rollerball,1975
Saw: The Final Chapter,2010
Follow That Bird,1985
Shaft,1971
Show Boat,1951
Smokey and the Bandit Part 3,1983
Species II,1998
Speed 2: Cruise Control,1997
Spy Kids 2: Island of Lost Dreams,2002
Spy Kids 4-D: All the Time in the World,2011
Star Wars: Episode I - The Phantom Menace,1999
Star Wars: Episode II - Attack of the Clones,2002
Star Wars: Episode III - Revenge of the Sith,2005
Star Wars: Episode IV - A New Hope,1977
Star Wars: Episode V - The Empire Strikes Back,1980
Star Wars: Episode VI - Return of the Jedi,1983
Star Wars: Episode VII - The Force Awakens,2015
Star Wars: Episode VIII - The Last Jedi,2017
Suddenly,1954
Sweet Sweetback's Baadasssss Song,1971
THX 1138,1971
Tess,1979
Strange Brew,1983
The Adventures of Sharkboy and Lavagirl 3-D,2005
Bad News Bears,2005
Battle Creek Brawl,1980
The Conjuring 2,2016
Allegiant,2016
Insurgent,2015
Divine Secrets of the Ya-Ya Sisterhood,2002
The Forgotten,2004
The Gods Must Be Crazy,1980
The Guns of Navarone,1961
The Hangover Part III,2013
Monty Python's Life of Brian,1972
The Naked Gun 2½: The Smell of Fear,1991
Pineapple Express,2008
Planet of the Apes,1968
Premature Burial,1962
The Prince and Me,2004
Road to Perdition,2002
The Russians Are Coming! The Russians Are Coming!,1966
The Shootist,1976
The Smurfs and the Magic Flute,1976
The Texas Chain Saw Massacre,1974
Transporter 2,2002
Thir13en Ghosts,2001
Thunder and Lightning,1977
A Madea Christmas,2013
Tyler Perry's Boo! A Madea Halloween,2016
Boo 2! A Madea Halloween,2017
Madea's Witness Protection,2012
Underworld: Rise of the Lycans,2009
Vertigo,1958
Victoria & Abdul,2017
Wall Street: Money Never Sleeps,2010
Wes Craven's New Nightmare,1994
Wishmaster,1997
Willie & Phil,1980
When Harry Met Sally...,1989
Where the Boys are,1984
Who's Afraid of Virginia Woolf?,1966
X2: X-Men United,2003
"Yours, Mine & Ours",2005
...And God Created Woman,1957
